LGA/Quarter,Jun 1999,Sep 1999,Dec 1999,Mar 2000,Jun 2000,Sep 2000,Dec 2000,Mar 2001,Jun 2001,Sep 2001,Dec 2001,Mar 2002,Jun 2002,Sep 2002,Dec 2003,Mar 2003,Jun 2003,Sep 2003,Dec 2003,Mar 2004,Jun 2004,Sep 2004,Dec 2004,Mar 2005,Jun 2005,Sep 2005,Dec 2005,Mar 2006,Jun 2006,Sep 2006,Dec 2006,Mar 2007,Jun 2007,Sep 2007,Dec 2007,Mar 2008,Jun 2008,Sep 2008,Dec 2008,Mar 2009,Jun 2009,Sep 2009,Dec 2009,Mar 2010,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021
Melbourne,180,195,199,200,215,220,220,220,240,245,240,240,245,250,240,250,250,255,250,260,254,250,260,264,270,265,270,265,280,275,280,280,300,300,300,290,300,325,340,320,360,350,350,340,355,355,370,340,370,360,375,330,370,360,370,350,380,360,370,350,370,360,380,355,380,370,370,355,390,380,390,395,410,400,413,405,420,420,430,420,435,425,420,414,375,350,320,310,300
Melton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,227,227,229,286,294,297,260,-,240,290,277,261,309,294,274,274,281,281,284,284,290,290,-,298,301,301,301,310,280,314,314,313,314,322,314,314,317,320,320,328,328,328,333,338,326,338,305,310,346,345,345,310,346,349
Moonee Valley,115,115,120,120,125,125,120,125,130,130,130,135,140,140,140,140,143,140,145,150,150,145,150,150,155,155,155,162,165,165,170,170,190,180,190,200,220,210,230,220,230,230,240,233,250,250,240,260,260,260,252,275,270,250,255,265,260,260,265,273,280,277,270,280,290,280,288,290,300,293,285,300,310,350,325,315,320,320,350,363,340,330,330,350,336,330,325,320,300
Moreland,110,110,115,120,120,120,120,123,125,130,130,130,132,132,135,140,140,140,140,145,145,147,145,150,150,150,150,150,150,160,160,171,175,180,188,200,210,220,210,230,240,240,240,240,250,250,254,260,260,270,255,260,270,265,269,270,280,270,280,280,290,295,290,280,280,300,290,300,300,330,300,310,320,325,335,330,340,360,345,340,350,355,345,350,360,350,320,320,310
Nillumbik,115,-,110,-,120,-,105,133,-,115,-,135,140,150,150,156,155,-,-,120,-,145,-,175,155,-,160,150,175,150,160,160,165,-,-,-,-,-,190,-,245,175,175,235,-,-,213,190,250,250,-,190,130,-,-,220,-,-,-,-,200,-,-,270,-,230,215,-,275,227,-,283,-,-,285,-,268,325,350,323,300,285,320,330,300,318,300,370,330
Whittlesea,-,125,-,98,-,95,100,105,95,-,-,-,120,93,-,130,-,-,-,150,148,135,-,-,160,163,135,170,145,160,200,170,160,-,170,200,190,220,-,220,220,240,170,235,235,270,240,250,230,260,265,250,250,260,255,270,260,270,275,275,263,277,270,270,268,280,275,275,270,278,280,280,285,295,290,290,298,300,300,310,295,300,305,300,300,310,295,300,300
Wyndham,-,95,-,-,108,110,110,118,125,125,-,-,125,125,110,100,125,-,110,120,125,-,113,-,130,135,133,135,143,-,130,145,155,160,-,145,160,165,155,185,190,235,220,185,195,210,198,200,213,215,230,225,212,205,230,200,205,230,200,230,253,260,250,210,238,285,260,255,230,245,240,290,290,250,265,258,290,305,290,308,293,300,270,290,290,285,275,300,295
Yarra,140,135,140,140,150,150,150,160,160,170,165,170,170,170,170,180,175,180,178,180,178,185,185,185,180,190,200,200,200,200,200,220,230,225,240,270,278,250,265,265,280,275,295,280,295,290,295,300,320,310,322,340,340,320,320,320,340,345,350,340,350,350,350,350,360,350,360,370,375,360,370,380,390,380,393,400,400,400,410,400,410,410,405,410,380,370,350,350,345
Group Total,120,125,125,130,130,135,135,145,145,150,150,160,150,160,160,175,165,170,170,190,180,183,185,210,190,200,200,215,210,210,210,230,235,230,230,250,270,260,270,290,300,300,290,300,300,300,300,310,300,310,310,310,310,310,320,320,330,325,330,330,320,330,336,330,340,340,340,340,350,350,350,365,370,375,380,385,380,390,385,393,390,395,389,390,355,350,320,319,300
Boroondara,140,140,148,145,150,150,150,155,160,160,160,160,170,170,170,165,170,170,170,180,180,180,180,190,190,190,190,195,190,200,195,190,200,210,220,220,230,231,270,250,265,260,268,250,260,275,285,265,275,279,285,279,289,289,295,289,295,280,297,270,310,310,300,280,325,315,340,285,320,315,340,310,350,330,350,310,360,340,360,320,370,350,351,330,355,340,330,300,313
Knox,105,120,115,110,115,125,120,123,120,120,115,120,120,118,120,140,130,138,135,135,130,138,128,140,143,150,140,148,140,150,150,145,170,180,160,168,180,193,188,220,198,215,195,205,198,200,220,200,220,200,195,208,195,200,250,290,210,248,215,245,220,210,295,293,235,310,290,300,300,280,308,305,310,270,310,330,308,295,320,320,330,305,330,345,328,350,335,330,340
Manningham,125,130,120,130,130,125,140,140,140,150,150,150,155,150,158,138,149,163,145,145,153,158,165,150,165,148,180,175,160,238,175,195,280,240,218,180,218,230,250,265,233,278,235,250,245,335,295,335,253,253,245,325,345,350,350,350,350,280,350,350,330,350,350,350,355,350,360,350,350,350,350,350,368,360,360,370,363,370,370,375,380,380,370,380,355,350,350,350,330
Maroondah,115,120,115,115,124,120,125,120,125,130,130,130,130,133,125,120,123,138,145,125,135,128,138,133,135,140,155,160,180,180,170,175,165,205,188,160,195,200,225,200,190,210,230,200,210,223,208,195,240,198,235,235,235,213,230,250,245,250,250,235,260,275,250,270,280,273,288,280,270,288,313,283,293,305,300,310,300,308,320,323,350,320,323,320,320,328,325,330,340
Monash,120,165,125,150,128,133,133,143,138,165,125,158,130,140,150,155,143,135,175,155,153,140,148,163,180,135,173,198,160,205,220,210,190,208,220,195,230,280,250,250,283,290,253,260,263,250,260,260,290,275,285,255,230,250,275,250,280,233,260,243,310,300,280,268,300,303,310,265,310,283,290,263,350,310,310,280,330,300,345,300,340,295,350,330,350,310,320,320,320
Whitehorse,125,120,135,135,140,132,135,137,135,135,130,145,130,150,140,144,150,150,150,150,160,151,160,170,165,158,165,165,165,175,180,195,200,200,210,210,215,220,220,225,220,230,228,230,231,231,230,235,215,231,242,240,230,230,242,250,240,230,270,225,255,230,240,225,260,255,270,230,320,290,280,235,333,300,350,245,345,310,325,255,353,340,360,265,330,330,330,320,320
Yarra Ranges,118,115,115,110,115,115,118,115,125,123,115,125,125,120,120,130,125,130,128,130,128,130,135,135,135,140,135,140,130,140,145,145,145,150,155,150,170,170,172,200,170,180,180,193,190,195,195,200,200,200,200,210,210,206,200,230,200,230,210,220,234,238,225,230,225,238,220,240,230,250,233,250,255,260,255,250,245,260,265,270,250,258,290,290,260,260,292,300,290
Group Total,126,130,139,135,140,140,140,145,145,150,140,150,150,150,150,151,156,160,160,160,165,160,165,175,180,170,180,190,180,190,190,190,195,200,210,210,220,220,243,230,235,250,240,240,250,250,260,245,250,263,260,255,255,270,270,270,270,250,280,250,300,295,280,260,300,300,315,270,318,300,320,285,340,320,333,295,345,330,350,310,360,340,350,318,350,340,330,320,320
Bayside,135,144,150,125,150,150,140,158,153,140,160,145,150,160,180,165,160,170,153,155,170,175,200,170,200,185,225,210,203,255,220,255,250,255,230,288,280,295,275,295,305,330,300,320,320,330,310,330,320,330,320,320,338,320,320,323,310,330,330,345,335,320,310,318,300,315,330,350,360,370,350,340,360,360,380,360,365,380,385,380,370,385,375,385,380,370,365,360,360
Cardinia,-,-,110,-,-,-,-,-,120,110,-,-,-,-,-,-,-,-,115,138,-,-,-,-,-,-,-,130,-,-,-,-,-,180,-,-,-,-,-,165,183,152,185,185,225,170,-,-,-,200,-,-,134,250,240,-,-,-,230,-,180,150,-,220,-,-,-,-,-,-,-,-,-,230,220,-,-,235,240,.,193,268,265,150,223,200,300,250,295
Casey,98,105,-,125,125,125,-,110,140,156,125,156,156,161,123,120,115,135,125,120,120,130,-,123,130,120,175,150,153,130,143,155,173,175,165,-,165,188,230,180,210,195,228,215,200,205,180,215,225,198,208,225,195,218,240,230,220,220,220,235,240,257,245,260,240,258,243,232,232,240,250,260,240,260,270,260,260,260,270,265,263,280,270,280,273,280,280,270,277
Frankston,95,95,100,95,100,95,100,105,105,105,105,105,110,110,110,110,115,110,115,115,115,120,115,115,125,120,115,130,145,125,145,133,143,145,155,148,155,163,170,169,180,160,170,175,173,185,200,185,195,195,190,190,185,182,200,193,210,200,210,240,216,220,220,215,225,235,223,210,220,230,227,230,233,225,245,240,240,240,245,250,253,250,250,250,240,255,250,250,260
Glen Eira,125,125,130,130,135,135,135,135,140,140,140,145,145,145,150,150,150,150,150,160,155,160,160,165,165,165,165,170,180,180,183,185,190,200,200,210,220,230,225,230,230,240,240,250,250,250,250,260,260,265,265,265,270,265,260,265,270,265,270,262,280,270,270,276,275,280,275,280,280,290,295,300,295,295,300,300,310,313,315,315,310,320,340,320,320,300,300,300,280
Greater Dandenong,100,100,99,100,100,100,105,105,105,105,105,107,110,110,110,110,110,115,110,115,120,120,120,120,120,125,125,125,130,130,135,135,145,145,150,150,165,165,180,180,180,190,195,190,200,200,200,200,205,205,210,210,200,210,220,210,210,210,210,220,220,220,225,220,215,250,230,220,230,230,230,230,233,240,250,240,250,250,250,250,260,260,260,260,260,255,260,260,260
Kingston,110,110,110,115,120,120,120,120,120,120,125,130,130,130,130,130,130,135,148,140,135,140,150,140,150,145,150,153,150,160,164,170,178,175,180,190,205,205,205,210,220,225,230,233,230,230,245,250,250,250,250,258,260,250,255,255,260,265,270,260,275,258,280,265,273,290,280,290,280,297,285,280,295,313,295,300,300,320,300,315,300,325,305,320,315,305,315,320,320
Mornington Penin'a,90,98,100,90,95,90,90,100,110,100,110,110,118,100,110,120,120,120,123,120,98,100,130,130,110,115,113,140,135,130,135,145,148,165,155,180,145,195,175,190,200,195,205,213,220,200,195,218,230,220,220,230,213,218,220,215,225,238,166,215,243,230,240,225,235,250,245,220,245,245,233,230,275,260,250,265,275,275,290,265,275,300,245,250,285,275,260,300,305
Port Phillip,155,160,160,160,165,170,180,185,185,180,190,190,195,200,195,195,195,200,206,216,210,200,215,220,220,210,225,225,238,230,250,250,260,270,270,285,290,295,295,300,300,300,310,320,315,311,320,330,335,330,330,330,330,330,340,349,330,330,340,335,335,340,340,335,350,345,350,350,350,350,350,360,375,370,370,385,375,375,370,380,380,375,370,385,360,350,350,330,325
Stonnington,155,155,155,163,165,170,170,170,170,175,175,180,180,180,180,180,185,190,190,190,190,195,200,195,200,197,195,200,205,200,215,211,240,235,245,240,265,270,270,265,280,280,295,285,300,300,300,295,305,320,330,310,330,320,320,300,325,325,340,310,330,330,335,320,340,350,350,320,350,350,360,340,370,375,375,345,380,380,380,360,395,390,395,355,350,350,340,325,320
Group Total,140,140,145,145,150,150,155,160,160,160,165,170,165,170,170,175,172,175,180,180,180,180,185,185,190,185,190,190,195,200,210,210,225,230,240,240,250,260,260,260,265,265,275,275,285,285,290,280,295,300,300,295,308,295,300,295,300,300,310,300,310,300,310,300,310,320,320,310,320,320,330,325,340,340,350,335,350,350,350,350,350,350,359,349,342,330,325,315,305
Victoria,120,125,130,130,132,135,135,140,145,150,150,155,150,155,150,164,160,165,165,170,170,170,170,185,180,180,180,195,190,195,200,205,210,215,220,230,250,250,250,260,260,265,265,275,275,280,280,280,280,290,290,290,295,290,295,299,300,300,300,300,300,310,310,310,315,320,320,315,330,330,330,340,350,350,350,350,360,360,360,360,369,370,360,362,350,340,320,310,300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro,130,135,135,140,140,145,150,150,150,160,160,165,160,165,165,170,170,170,170,180,180,180,180,195,186,190,195,200,200,200,210,215,225,225,230,240,260,255,260,270,271,280,280,280,285,290,290,290,295,300,300,300,300,300,300,300,310,305,318,310,310,320,320,315,320,330,330,320,340,340,340,350,350,360,360,360,370,370,370,370,375,380,375,370,350,345,320,319,310
Non-Metro,80,80,80,80,80,85,85,85,85,85,85,85,90,90,90,90,95,95,95,95,95,97,100,100,100,100,100,105,110,110,110,110,115,115,115,120,120,120,125,125,130,130,130,130,135,140,135,145,150,150,150,150,150,155,155,160,160,160,160,165,165,165,170,175,170,180,175,175,175,180,180,180,180,180,180,185,180,180,190,195,195,195,195,200,205,210,215,220,220
Victoria,120,125,130,130,132,135,135,140,145,150,150,155,150,155,150,164,160,165,165,170,170,170,170,185,180,180,180,195,190,195,200,205,210,215,220,230,250,250,250,260,260,265,265,275,275,280,280,280,280,290,290,290,295,290,295,299,300,300,300,300,300,310,310,310,315,320,320,315,330,330,330,340,350,350,350,350,360,360,360,360,369,370,360,362,350,340,320,310,300
