LGA/Quarter,Jun 1999,Sep 1999,Dec 1999,Mar 2000,Jun 2000,Sep 2000,Dec 2000,Mar 2001,Jun 2001,Sep 2001,Dec 2001,Mar 2002,Jun 2002,Sep 2002,Dec 2003,Mar 2003,Jun 2003,Sep 2003,Dec 2003,Mar 2004,Jun 2004,Sep 2004,Dec 2004,Mar 2005,Jun 2005,Sep 2005,Dec 2005,Mar 2006,Jun 2006,Sep 2006,Dec 2006,Mar 2007,Jun 2007,Sep 2007,Dec 2007,Mar 2008,Jun 2008,Sep 2008,Dec 2008,Mar 2009,Jun 2009,Sep 2009,Dec 2009,Mar 2010,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021
Hepburn,-,-,-,-,-,-,-,98,-,-,-,-,-,-,-,-,105,100,-,-,120,-,-,-,120,-,-,-,-,-,-,160,-,-,-,140,-,150,150,-,-,-,-,-,-,-,165,-,-,-,190,-,200,-,192,-,-,-,-,225,-,-,-,-,-,-,-,238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hindmarsh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,75,120,120,-,-,-,75,-,80,-,-,-,-,-,130,-,100,-,-,118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Horsham,65,65,65,65,60,65,70,70,70,70,75,70,70,80,75,75,70,83,75,65,78,78,-,80,-,83,-,83,80,-,93,100,113,95,95,85,110,100,110,105,100,125,110,160,95,145,110,110,283,135,113,120,160,148,150,150,232,115,140,301,135,178,220,145,266,200,160,175,125,145,183,155,250,218,200,213,230,150,160,250,190,160,230,250,230,263,185,180,220
Moorabool,80,65,95,85,88,85,-,93,95,100,-,85,90,-,85,95,-,-,-,100,-,-,110,-,-,90,-,-,95,-,-,-,-,556,145,395,295,130,150,-,-,130,155,150,-,155,145,175,160,-,-,190,170,-,-,-,-,-,175,190,140,-,140,180,175,225,-,-,-,210,200,-,220,230,215,-,-,230,240,255,240,223,250,230,235,250,300,240,245
Northern Grampians,75,-,75,80,75,75,-,75,75,78,74,78,85,85,85,85,85,85,83,85,-,-,85,93,83,88,85,92,-,-,-,95,85,-,90,90,115,93,90,85,-,100,95,100,108,-,-,105,-,100,100,115,-,95,108,95,120,-,140,115,120,-,190,100,123,128,123,-,150,133,135,-,150,-,120,140,155,-,-,-,-,-,-,-,-,-,-,-,-
Pyrenees,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
West Wimmera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yarriambiack,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95,-,-,105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,110,-,-,-,-,120,120,125,120,115,130,115,130,130,128,120,110
Group Total,80,80,80,80,80,80,80,85,85,85,90,85,90,90,90,90,95,95,95,95,95,95,100,100,100,100,105,100,105,110,105,110,110,115,113,110,120,120,120,125,128,129,125,130,135,140,130,140,145,135,150,148,150,150,150,155,160,150,160,160,150,155,160,155,160,160,165,165,160,160,165,163,170,170,165,165,170,170,180,185,175,180,188,185,190,195,190,200,200
Buloke,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,108,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
